property_id,title,type_id,deal_type,user_id,post_date,sell_date,location_id,size_sqm,floor,rooms,year_built,renovation_status,estimated_saleprice,estimated_rentprice
1,Give so generation.,2,Rent,24,2022-03-23,2025-04-18,29,191.1,10,6,1987,Newly Renovated,393225.07,1572.9
2,Never focus light need.,1,Sale,34,2023-01-25,2024-11-27,45,130.7,12,4,2018,Newly Renovated,410075.66,1640.3
3,Message real security.,2,Rent,4,2022-03-26,2024-12-02,32,96.3,6,5,1990,Partially Renovated,142003.64,568.01
4,Wide create upon.,2,Rent,45,2021-05-22,2025-05-20,40,49.9,1,2,1965,Not Renovated,76553.96,306.22
5,Trouble rate rate six at.,2,Rent,40,2024-08-27,2024-11-13,2,108.9,12,1,1998,Newly Renovated,364085.41,1456.34
6,Heart exactly career.,2,Rent,11,2023-10-07,2025-01-14,10,136.3,5,2,2006,Not Renovated,287416.04,1149.66
7,Life law name.,2,Rent,36,2024-12-29,2025-01-04,24,42.7,6,3,1970,Not Renovated,44687.82,178.75
8,Growth become become force.,1,Rent,14,2023-08-15,,35,74.4,4,4,2013,Not Renovated,155361.41,621.45
9,Instead get.,2,Rent,13,2025-12-17,,12,141.7,10,6,1994,Newly Renovated,252540.89,1010.16
10,Him course here.,1,Sale,6,2021-01-23,2025-01-12,23,55.5,7,5,1971,Not Renovated,109457.83,437.83
11,Thousand bag herself.,1,Sale,9,2023-06-06,2024-12-26,37,139.4,6,6,1998,Not Renovated,315209.53,1260.84
12,Public account media occur.,1,Sale,9,2024-08-22,2025-03-22,41,65.8,11,3,1967,Not Renovated,124375.76,497.5
13,Project miss direction talk pull.,1,Rent,7,2025-04-17,2025-01-03,40,133.2,8,4,2021,Not Renovated,148426.72,593.71
14,With account admit evening identify.,1,Rent,16,2025-12-17,2025-04-06,36,90.4,7,2,2008,Newly Renovated,159511.66,638.05
15,Industry like identify.,2,Sale,43,2021-02-25,,5,141.1,5,3,1968,Not Renovated,275548.69,1102.19
16,Crime against assume Democrat kid.,2,Rent,22,2024-04-04,,18,40.4,1,3,2007,Newly Renovated,84399.6,337.6
17,Million arm feeling learn.,2,Sale,10,2024-01-31,2024-12-04,16,120.3,6,1,2005,Newly Renovated,280143.72,1120.57
18,Series important hear.,2,Rent,23,2025-03-17,,23,50.2,10,3,2016,Partially Renovated,127462.98,509.85
19,Religious billion top.,2,Rent,10,2025-07-31,2025-03-26,3,113.1,9,6,2013,Partially Renovated,151497.02,605.99
20,Player garden hotel.,2,Rent,31,2025-12-02,2025-02-10,4,116.7,6,1,2005,Partially Renovated,159248.76,637.0
21,Edge stock few.,1,Rent,24,2024-05-05,,47,65.6,1,2,1980,Not Renovated,72694.77,290.78
22,Team form.,2,Sale,5,2023-03-09,2024-11-10,39,121.3,3,1,1976,Not Renovated,152838.57,611.35
23,Scientist class study whose.,1,Rent,42,2025-02-03,2025-03-28,46,129.8,5,1,2017,Partially Renovated,290719.47,1162.88
24,Debate begin hundred head reality.,1,Rent,50,2025-01-31,,22,182.9,5,4,2010,Newly Renovated,527478.48,2109.91
25,Series month pass.,1,Sale,27,2024-07-24,2025-05-04,28,189.9,6,5,1982,Newly Renovated,382383.77,1529.54
