property_id,deal_type,user_type,district,type_name,size_sqm,status,rooms,floor,year_built,renovation_status,estimated_saleprice,estimated_rentprice
1,Sale,Owner,Kentron,House,157.5,Available,2,10,1981,Newly Renovated,363375.37,1453.5
3,Rent,Agent,Malatia-Sebastia,House,167.3,Available,6,5,1968,Not Renovated,273677.88,1094.71
9,Rent,Agent,Kanaker-Zeytun,House,31.0,Available,3,3,1999,Newly Renovated,60519.9,242.08
11,Rent,Agent,Malatia-Sebastia,House,93.9,Available,2,4,1975,Newly Renovated,177233.7,708.93
12,Rent,Buyer,Davtashen,House,171.2,Available,6,6,1990,Partially Renovated,274457.83,1097.83
18,Rent,Buyer,Malatia-Sebastia,House,49.2,Available,3,11,1986,Not Renovated,83716.56,334.87
19,Sale,Agent,Kanaker-Zeytun,House,130.3,Available,6,9,2003,Partially Renovated,202333.63,809.33
20,Rent,Agent,Nor Nork,House,104.5,Available,3,3,1997,Partially Renovated,136420.92,545.68
21,Rent,Agent,Davtashen,House,134.2,Available,1,12,2002,Newly Renovated,307112.12,1228.45
23,Sale,Owner,Kanaker-Zeytun,House,87.2,Available,1,2,1990,Not Renovated,121295.01,485.18
25,Sale,Owner,Kanaker-Zeytun,House,188.4,Available,5,6,1995,Newly Renovated,677729.73,2710.92
27,Sale,Owner,Kentron,House,63.0,Available,2,7,2023,Partially Renovated,117342.31,469.37
30,Sale,Buyer,Nor Nork,House,179.6,Available,5,1,1992,Newly Renovated,490753.62,1963.01
31,Sale,Buyer,Malatia-Sebastia,House,65.8,Available,1,6,2017,Not Renovated,132026.46,528.11
32,Rent,Agent,Kentron,House,183.0,Available,4,12,1990,Not Renovated,443886.45,1775.55
33,Sale,Owner,Malatia-Sebastia,House,92.6,Available,2,10,2018,Partially Renovated,201587.37,806.35
34,Rent,Agent,Malatia-Sebastia,House,111.0,Available,4,2,1985,Partially Renovated,158144.4,632.58
36,Rent,Owner,Nor Nork,House,159.7,Available,5,1,1991,Partially Renovated,195865.17,783.46
39,Rent,Buyer,Nor Nork,House,74.4,Available,1,10,1983,Newly Renovated,117118.38,468.47
40,Sale,Agent,Kentron,House,130.9,Available,6,6,1975,Not Renovated,276561.29,1106.25
46,Rent,Agent,Arabkir,House,137.1,Available,5,9,2003,Newly Renovated,240427.25,961.71
51,Sale,Buyer,Nor Nork,House,113.8,Available,1,9,1965,Newly Renovated,131113.83,524.46
52,Rent,Buyer,Kentron,House,106.2,Available,2,12,2015,Not Renovated,189924.4,759.7
53,Rent,Agent,Nor Nork,House,153.7,Available,3,9,1984,Not Renovated,245020.21,980.08
56,Rent,Agent,Nubarashen,House,162.7,Available,2,3,1987,Partially Renovated,381769.95,1527.08
57,Sale,Owner,Erebuni,House,162.8,Available,6,6,2010,Partially Renovated,327258.46,1309.03
60,Rent,Owner,Nor Nork,House,138.2,Available,1,6,1988,Not Renovated,184365.42,737.46
61,Sale,Agent,Kanaker-Zeytun,House,186.7,Available,1,9,2004,Not Renovated,351733.2,1406.93
67,Rent,Owner,Kentron,House,181.2,Available,5,6,1978,Not Renovated,219811.35,879.25
68,Sale,Agent,Nor Nork,House,33.4,Available,4,8,1992,Newly Renovated,85413.69,341.65
71,Rent,Agent,Kanaker-Zeytun,House,146.5,Available,6,6,1982,Partially Renovated,320495.24,1281.98
73,Sale,Agent,Nor Nork,House,74.9,Available,6,10,1980,Partially Renovated,131468.29,525.87
74,Rent,Agent,Arabkir,House,148.3,Available,2,1,1971,Newly Renovated,392992.75,1571.97
76,Rent,Owner,Kanaker-Zeytun,House,82.5,Available,3,8,2013,Newly Renovated,213583.05,854.33
79,Sale,Buyer,Nork-Marash,House,52.8,Available,3,12,2002,Newly Renovated,147768.52,591.07
80,Sale,Owner,Ajapnyak,House,43.8,Available,1,9,2017,Not Renovated,60785.08,243.14
82,Sale,Buyer,Davtashen,House,78.4,Available,5,6,1992,Partially Renovated,130447.59,521.79
85,Sale,Buyer,Shengavit,House,103.3,Available,2,4,2018,Not Renovated,118533.11,474.13
89,Rent,Owner,Kanaker-Zeytun,House,118.1,Available,3,3,1973,Newly Renovated,297044.07,1188.18
90,Rent,Agent,Malatia-Sebastia,House,162.1,Available,1,11,2015,Partially Renovated,392286.01,1569.14
92,Rent,Agent,Kentron,House,85.1,Available,3,10,1990,Partially Renovated,179238.92,716.96
93,Sale,Owner,Nubarashen,House,197.2,Available,4,9,1993,Not Renovated,272783.13,1091.13
94,Rent,Agent,Malatia-Sebastia,House,43.8,Available,5,5,2001,Newly Renovated,79481.62,317.93
96,Sale,Agent,Erebuni,House,136.4,Available,4,11,2007,Partially Renovated,188512.6,754.05
99,Sale,Owner,Kanaker-Zeytun,House,149.6,Available,2,9,1980,Partially Renovated,229990.94,919.96
100,Sale,Agent,Erebuni,House,118.4,Available,2,4,1979,Not Renovated,244195.83,976.78
101,Rent,Owner,Nor Nork,House,60.2,Available,3,7,1970,Newly Renovated,104510.96,418.04
107,Sale,Owner,Kentron,House,61.1,Available,1,8,1999,Not Renovated,65107.22,260.43
111,Sale,Agent,Davtashen,House,40.0,Available,5,4,2008,Partially Renovated,94955.25,379.82
114,Sale,Agent,Davtashen,House,91.2,Available,1,3,1978,Newly Renovated,198167.01,792.67
116,Sale,Agent,Kentron,House,194.3,Available,4,9,2022,Partially Renovated,536732.66,2146.93
118,Sale,Buyer,Davtashen,House,61.9,Available,6,9,1979,Newly Renovated,107549.05,430.2
119,Sale,Agent,Nor Nork,House,157.7,Available,5,10,1976,Partially Renovated,272673.59,1090.69
121,Sale,Buyer,Nor Nork,House,44.0,Available,2,2,1975,Not Renovated,52435.33,209.74
126,Sale,Agent,Nork-Marash,House,27.9,Available,1,4,1971,Newly Renovated,43197.92,172.79
128,Sale,Agent,Malatia-Sebastia,House,146.2,Available,2,12,2003,Not Renovated,220097.89,880.39
129,Rent,Owner,Shengavit,House,188.1,Available,5,6,1989,Newly Renovated,351616.77,1406.47
130,Sale,Agent,Shengavit,House,50.6,Available,6,12,1983,Newly Renovated,150220.0,600.88
132,Rent,Agent,Kanaker-Zeytun,House,143.8,Available,6,8,1988,Not Renovated,276840.35,1107.36
136,Rent,Owner,Arabkir,House,175.7,Available,3,10,2012,Newly Renovated,291166.46,1164.67
141,Sale,Agent,Ajapnyak,House,87.2,Available,5,4,2016,Newly Renovated,263312.06,1053.25
142,Sale,Owner,Kentron,House,28.2,Available,5,2,1996,Not Renovated,43703.14,174.81
143,Sale,Agent,Nor Nork,House,72.2,Available,5,11,1969,Newly Renovated,141058.19,564.23
145,Sale,Agent,Nor Nork,House,78.7,Available,2,6,1991,Partially Renovated,94527.63,378.11
149,Rent,Owner,Malatia-Sebastia,House,147.8,Available,5,10,1995,Not Renovated,361841.1,1447.36
155,Sale,Buyer,Malatia-Sebastia,House,163.5,Available,6,4,2010,Newly Renovated,489195.32,1956.78
157,Sale,Buyer,Kanaker-Zeytun,House,140.3,Available,5,9,2001,Not Renovated,327670.08,1310.68
158,Sale,Owner,Kanaker-Zeytun,House,110.0,Available,2,5,1992,Partially Renovated,152549.09,610.2
163,Rent,Buyer,Nor Nork,House,166.1,Available,2,5,1967,Partially Renovated,197839.36,791.36
164,Sale,Buyer,Kanaker-Zeytun,House,58.9,Available,3,12,2018,Not Renovated,124610.14,498.44
165,Rent,Buyer,Nor Nork,House,37.9,Available,5,4,2008,Not Renovated,61297.56,245.19
166,Sale,Owner,Kanaker-Zeytun,House,46.3,Available,5,2,2018,Not Renovated,101149.72,404.6
167,Sale,Agent,Nubarashen,House,100.8,Available,6,7,2020,Not Renovated,137653.03,550.61
168,Sale,Owner,Kanaker-Zeytun,House,143.2,Available,5,12,1992,Newly Renovated,293428.5,1173.71
170,Rent,Owner,Ajapnyak,House,71.4,Available,3,8,2015,Newly Renovated,148798.75,595.2
172,Sale,Agent,Erebuni,House,144.6,Available,3,5,1973,Partially Renovated,333367.95,1333.47
174,Sale,Agent,Erebuni,House,35.7,Available,3,12,1976,Newly Renovated,93212.42,372.85
176,Rent,Agent,Kanaker-Zeytun,House,177.9,Available,4,1,1978,Newly Renovated,272767.37,1091.07
177,Rent,Agent,Nubarashen,House,176.7,Available,4,12,2016,Not Renovated,408805.27,1635.22
178,Rent,Buyer,Nubarashen,House,53.0,Available,6,5,1977,Partially Renovated,94233.2,376.93
179,Sale,Owner,Kentron,House,159.5,Available,5,10,2007,Newly Renovated,370306.64,1481.23
182,Rent,Agent,Arabkir,House,108.8,Available,4,1,1995,Partially Renovated,182151.09,728.6
186,Rent,Agent,Nor Nork,House,188.8,Available,3,3,1976,Partially Renovated,328915.83,1315.66
187,Rent,Owner,Kanaker-Zeytun,House,116.8,Available,2,5,1989,Newly Renovated,191938.87,767.76
192,Rent,Agent,Malatia-Sebastia,House,68.1,Available,2,7,1965,Not Renovated,102580.21,410.32
193,Sale,Owner,Erebuni,House,151.6,Available,2,12,1967,Not Renovated,316403.29,1265.61
195,Sale,Agent,Avan,House,44.0,Available,2,10,1977,Newly Renovated,86010.04,344.04
199,Rent,Agent,Nor Nork,House,37.8,Available,1,12,1987,Not Renovated,92206.95,368.83
200,Sale,Buyer,Nubarashen,House,25.4,Available,5,6,2017,Partially Renovated,65376.46,261.51
205,Sale,Agent,Kentron,House,183.3,Available,4,9,1981,Partially Renovated,271076.04,1084.3
206,Sale,Buyer,Kentron,House,87.7,Available,1,1,1999,Partially Renovated,94462.06,377.85
208,Sale,Agent,Avan,House,136.7,Available,6,9,2009,Partially Renovated,225821.79,903.29
209,Sale,Buyer,Arabkir,House,163.0,Available,3,9,2012,Not Renovated,203174.29,812.7
210,Sale,Agent,Kanaker-Zeytun,House,150.1,Available,2,11,1979,Newly Renovated,411646.3,1646.59
212,Rent,Agent,Kanaker-Zeytun,House,127.0,Available,1,10,1996,Newly Renovated,255856.99,1023.43
213,Sale,Buyer,Arabkir,House,155.6,Available,1,7,2005,Partially Renovated,228812.3,915.25
214,Sale,Agent,Kanaker-Zeytun,House,147.3,Available,1,7,2007,Not Renovated,238483.22,953.93
215,Rent,Owner,Kanaker-Zeytun,House,170.9,Available,5,7,1983,Partially Renovated,313922.12,1255.69
217,Sale,Buyer,Avan,House,152.8,Available,4,11,1990,Not Renovated,217786.95,871.15
218,Rent,Owner,Kanaker-Zeytun,House,169.5,Available,6,5,2019,Not Renovated,332713.71,1330.85
219,Sale,Owner,Nor Nork,House,65.0,Available,1,8,1991,Newly Renovated,123364.28,493.46
222,Rent,Buyer,Shengavit,House,170.3,Available,4,4,2015,Not Renovated,392661.58,1570.65
226,Sale,Owner,Kanaker-Zeytun,House,114.4,Available,6,6,1988,Newly Renovated,282692.34,1130.77
230,Sale,Agent,Shengavit,House,141.2,Available,6,6,1970,Newly Renovated,263669.77,1054.68
233,Sale,Agent,Malatia-Sebastia,House,130.1,Available,3,8,2011,Not Renovated,144008.17,576.03
235,Sale,Agent,Davtashen,House,112.7,Available,4,1,2014,Not Renovated,149079.34,596.32
236,Sale,Owner,Kentron,House,62.5,Available,6,5,2023,Newly Renovated,186647.04,746.59
238,Sale,Agent,Arabkir,House,128.5,Available,6,4,1977,Not Renovated,180616.53,722.47
239,Sale,Owner,Erebuni,House,190.3,Available,4,4,1984,Not Renovated,188012.75,752.05
240,Rent,Agent,Nubarashen,House,129.1,Available,5,3,1967,Not Renovated,294782.04,1179.13
241,Sale,Buyer,Kanaker-Zeytun,House,57.1,Available,2,4,2009,Not Renovated,100881.2,403.52
242,Rent,Agent,Nor Nork,House,43.7,Available,1,9,1982,Newly Renovated,99313.8,397.26
248,Sale,Owner,Arabkir,House,182.9,Available,1,10,2006,Partially Renovated,431383.32,1725.53
250,Rent,Buyer,Kentron,House,192.8,Available,3,9,2021,Newly Renovated,339138.05,1356.55
253,Sale,Agent,Shengavit,House,183.8,Available,6,11,2008,Newly Renovated,477873.43,1911.49
254,Rent,Agent,Nor Nork,House,66.3,Available,6,1,1997,Not Renovated,125221.22,500.88
256,Sale,Buyer,Kanaker-Zeytun,House,95.5,Available,6,2,1984,Partially Renovated,144206.48,576.83
257,Rent,Buyer,Shengavit,House,174.9,Available,2,7,2008,Partially Renovated,252330.67,1009.32
258,Rent,Agent,Kanaker-Zeytun,House,188.7,Available,6,9,1979,Newly Renovated,469204.17,1876.82
260,Sale,Owner,Nor Nork,House,127.5,Available,1,3,1971,Newly Renovated,211474.95,845.9
262,Rent,Owner,Avan,House,60.5,Available,2,7,2022,Not Renovated,107835.86,431.34
268,Sale,Owner,Kanaker-Zeytun,House,105.6,Available,5,7,2010,Not Renovated,148602.93,594.41
272,Sale,Agent,Kanaker-Zeytun,House,155.8,Available,2,4,2018,Newly Renovated,395071.11,1580.28
273,Sale,Owner,Nor Nork,House,86.9,Available,3,11,2014,Newly Renovated,202475.76,809.9
274,Rent,Agent,Nor Nork,House,114.6,Available,1,7,1993,Partially Renovated,181131.85,724.53
277,Sale,Owner,Nor Nork,House,115.4,Available,2,10,2014,Partially Renovated,277562.82,1110.25
