property_id,deal_type,user_type,district,type_name,size_sqm,status,rooms,floor,year_built,renovation_status,estimated_saleprice,estimated_rentprice
1,Rent,Owner,Malatia-Sebastia,House,96.1,Available,1,9,1996,Newly Renovated,199007.93,796.03
2,Sale,Agent,Nubarashen,House,89.0,Available,6,5,1967,Newly Renovated,211979.08,847.92
5,Rent,Buyer,Nor Nork,House,124.9,Available,6,8,2009,Not Renovated,178884.09,715.54
7,Rent,Agent,Malatia-Sebastia,House,181.6,Available,2,4,1989,Partially Renovated,201469.44,805.88
9,Rent,Agent,Kanaker-Zeytun,House,63.0,Available,6,10,1977,Newly Renovated,147790.87,591.16
12,Sale,Owner,Davtashen,House,162.6,Available,5,5,2006,Partially Renovated,306955.94,1227.82
15,Sale,Owner,Davtashen,House,128.5,Available,2,8,1975,Newly Renovated,255854.5,1023.42
16,Sale,Owner,Arabkir,House,182.9,Available,3,4,2008,Newly Renovated,504693.71,2018.77
17,Sale,Owner,Shengavit,House,197.7,Available,4,3,1983,Newly Renovated,356509.16,1426.04
24,Rent,Buyer,Erebuni,House,37.2,Available,5,4,1994,Not Renovated,44673.28,178.69
28,Rent,Agent,Nubarashen,House,80.1,Available,6,3,1988,Not Renovated,131634.49,526.54
29,Sale,Agent,Davtashen,House,46.0,Available,4,4,1966,Not Renovated,52615.38,210.46
32,Sale,Buyer,Erebuni,House,95.3,Available,6,11,1986,Newly Renovated,261148.39,1044.59
33,Rent,Agent,Erebuni,House,57.4,Available,2,4,2005,Not Renovated,69918.33,279.67
34,Rent,Agent,Davtashen,House,198.6,Available,1,3,1979,Newly Renovated,380147.12,1520.59
38,Rent,Agent,Avan,House,43.6,Available,2,7,1970,Newly Renovated,124663.57,498.65
39,Rent,Agent,Kanaker-Zeytun,House,185.1,Available,3,2,2005,Newly Renovated,366452.77,1465.81
40,Rent,Owner,Davtashen,House,136.9,Available,2,11,2011,Partially Renovated,176296.99,705.19
42,Sale,Owner,Nubarashen,House,108.4,Available,1,1,1995,Partially Renovated,202989.97,811.96
45,Sale,Agent,Arabkir,House,153.6,Available,6,2,1989,Not Renovated,249212.51,996.85
47,Sale,Buyer,Avan,House,154.7,Available,1,10,1976,Not Renovated,178053.46,712.21
48,Rent,Owner,Kanaker-Zeytun,House,174.3,Available,5,11,2012,Newly Renovated,260213.35,1040.85
49,Rent,Owner,Arabkir,House,69.4,Available,2,4,1984,Partially Renovated,158196.13,632.78
50,Sale,Agent,Kanaker-Zeytun,House,96.3,Available,3,9,1988,Not Renovated,143021.92,572.09
52,Sale,Agent,Avan,House,168.1,Available,6,1,1986,Partially Renovated,315767.71,1263.07
53,Rent,Owner,Nor Nork,House,176.3,Available,5,5,1967,Not Renovated,205338.01,821.35
56,Sale,Agent,Erebuni,House,126.8,Available,3,9,1985,Newly Renovated,337617.33,1350.47
57,Rent,Agent,Kanaker-Zeytun,House,78.6,Available,1,7,1994,Newly Renovated,192905.18,771.62
59,Sale,Agent,Kanaker-Zeytun,House,81.7,Available,6,6,1973,Not Renovated,188968.17,755.87
60,Rent,Owner,Avan,House,166.0,Available,6,4,1993,Partially Renovated,260302.21,1041.21
61,Rent,Owner,Kanaker-Zeytun,House,95.1,Available,1,11,2012,Newly Renovated,167471.9,669.89
62,Sale,Owner,Nubarashen,House,54.4,Available,1,6,2008,Not Renovated,71902.87,287.61
65,Sale,Agent,Nor Nork,House,185.9,Available,6,11,1976,Partially Renovated,254677.71,1018.71
66,Sale,Agent,Kanaker-Zeytun,House,69.2,Available,1,12,1987,Not Renovated,95642.99,382.57
68,Rent,Agent,Davtashen,House,51.6,Available,3,5,1985,Partially Renovated,84977.86,339.91
69,Rent,Agent,Avan,House,130.2,Available,1,4,1986,Not Renovated,262220.35,1048.88
72,Rent,Buyer,Erebuni,House,156.1,Available,4,10,2020,Not Renovated,336999.0,1348.0
74,Rent,Owner,Erebuni,House,183.8,Available,5,7,2016,Not Renovated,386227.34,1544.91
76,Sale,Buyer,Shengavit,House,93.7,Available,2,4,2002,Newly Renovated,164509.76,658.04
77,Rent,Owner,Kanaker-Zeytun,House,65.3,Available,3,12,1966,Not Renovated,111103.49,444.41
82,Sale,Agent,Malatia-Sebastia,House,185.3,Available,3,1,2010,Partially Renovated,283116.81,1132.47
85,Sale,Buyer,Kentron,House,42.6,Available,6,6,1984,Partially Renovated,90955.65,363.82
86,Sale,Agent,Kanaker-Zeytun,House,51.2,Available,3,10,2012,Newly Renovated,87522.76,350.09
89,Rent,Owner,Kanaker-Zeytun,House,100.4,Available,4,9,2006,Not Renovated,201530.35,806.12
90,Rent,Buyer,Arabkir,House,159.8,Available,4,6,2015,Newly Renovated,397588.41,1590.35
91,Rent,Buyer,Erebuni,House,54.8,Available,3,4,1974,Newly Renovated,141083.41,564.33
92,Rent,Owner,Davtashen,House,63.8,Available,2,1,1972,Not Renovated,133833.75,535.34
95,Rent,Agent,Nor Nork,House,165.8,Available,5,8,1996,Not Renovated,244164.72,976.66
101,Rent,Agent,Erebuni,House,91.0,Available,2,11,2013,Newly Renovated,220448.19,881.79
104,Sale,Agent,Erebuni,House,102.6,Available,2,3,2022,Newly Renovated,204680.53,818.72
105,Sale,Buyer,Davtashen,House,126.9,Available,6,6,1977,Newly Renovated,340216.76,1360.87
